Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,77,0,5,2,69.0
8,90,1,4,1,84.0
9,83,1,6,3,82.0
4,52,0,9,5,38.0
4,82,1,8,6,68.0
3,80,1,9,1,58.0
2,98,0,8,3,78.0
5,56,0,8,5,40.0
3,48,0,9,8,35.0
5,91,1,4,8,75.0
9,48,0,7,6,44.0
3,79,0,6,1,56.0
5,71,1,8,3,55.0
8,56,0,4,5,48.0
6,80,1,4,8,70.0
1,82,1,9,6,56.0
3,80,0,5,7,59.0
4,88,0,9,0,73.0
2,54,0,5,7,30.0
6,54,0,4,9,41.0
9,81,1,9,5,78.0
5,58,0,6,3,40.0
1,56,1,8,5,31.0
3,40,0,8,8,18.0
3,80,1,7,4,61.0
9,46,0,7,5,43.0
7,41,0,7,5,32.0
2,96,0,9,3,73.0
3,43,1,6,1,22.0
9,77,1,9,6,77.0
7,64,1,7,0,54.0
8,45,0,4,8,37.0
4,77,0,4,0,59.0
8,44,0,8,0,37.0
9,64,1,8,2,63.0
4,66,1,7,9,48.0
8,57,0,6,6,50.0
6,76,0,9,9,66.0
3,75,1,6,4,57.0
3,77,1,6,7,58.0
7,69,0,6,1,57.0
2,68,0,5,9,45.0
4,89,0,4,0,69.0
8,75,1,5,2,67.0
2,58,0,9,7,38.0
2,67,0,5,5,46.0
2,92,1,6,6,70.0
6,66,1,8,8,56.0
7,42,1,7,5,34.0
9,77,0,6,9,76.0
5,95,0,7,8,83.0
6,59,1,9,3,47.0
5,41,1,9,6,29.0
6,81,0,4,9,71.0
7,92,1,8,1,82.0
5,88,0,5,6,73.0
7,62,0,7,2,52.0
5,91,0,4,4,74.0
8,50,0,8,7,46.0
5,61,1,7,3,48.0
2,89,0,6,9,69.0
2,96,0,4,9,73.0
9,80,1,6,4,78.0
6,60,1,7,6,45.0
7,90,1,8,9,84.0
9,42,1,7,1,40.0
4,88,1,7,6,72.0
6,99,1,9,4,88.0
7,91,1,7,9,84.0
5,49,0,4,7,33.0
2,49,0,7,4,25.0
4,67,0,7,3,48.0
1,59,1,5,6,32.0
3,99,0,8,8,80.0
5,87,0,4,6,72.0
8,94,0,7,4,90.0
3,86,1,5,1,63.0
2,69,1,5,7,45.0
2,43,1,7,8,26.0
9,63,0,9,3,61.0
7,87,0,7,8,76.0
8,84,1,9,6,79.0
4,49,1,4,0,32.0
4,53,1,7,4,33.0
3,90,1,7,1,68.0
