Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Fields_Reference Number,Vehicle Number,Type of Vehicle,Casualty Fields_Reference Number,Casualty Veh No,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
51B0230,433936,428874,1,11/01/2018,0700,6,U,1,4,1,E08000035,51B0230,1,9,51B0230,1,3,3,2,87
51B0349,430076,433872,1,11/01/2018,0855,6,U,2,1,1,E08000035,51B0349,1,11,51B0349,1,2,3,2,60
51B0349,430076,433872,1,11/01/2018,0855,6,U,2,1,1,E08000035,51B0349,1,11,51B0349,1,2,3,2,51
51B0349,430076,433872,1,11/01/2018,0855,6,U,2,1,1,E08000035,51B0349,1,11,51B0349,1,2,3,2,50
51B0349,430076,433872,1,11/01/2018,0855,6,U,2,1,1,E08000035,51B0349,1,11,51B0349,1,2,3,2,51
51B0349,430076,433872,1,11/01/2018,0855,6,U,2,1,1,E08000035,51B0349,1,11,51B0349,1,2,3,2,38
51B0632,428627,432517,2,10/01/2018,1014,3,A643,2,1,1,E08000035,51B0632,2,9,51B0632,2,1,3,2,47
51B0975,424572,434438,2,11/01/2018,1500,6,U,1,1,1,E08000035,51B0975,2,9,51B0975,2,2,3,2,13
51B1212,423190,434659,2,11/01/2018,1659,6,U,2,4,1,E08000035,51B1212,1,9,51B1212,1,1,3,2,47
51B1241,431320,433911,1,11/01/2018,1455,6,U,1,1,1,E08000035,51B1241,1,11,51B1241,1,2,3,2,71
51B1288,431791,434652,1,11/01/2018,1205,6,U,2,1,1,E08000035,51B1288,1,11,51B1288,1,3,3,2,4
51B1315,430859,433470,1,11/01/2018,1800,6,U,1,4,1,E08000035,51B1315,1,11,51B1315,1,3,2,1,50
51B1329,429654,433388,1,11/01/2018,1752,6,U,2,4,1,E08000035,51B1329,1,8,51B1329,1,3,3,2,59
51C0703,432273,434581,2,13/01/2018,1210,6,U,1,1,1,E08000035,51C0703,1,2,51C0703,1,1,3,1,18
51C1211,428411,435013,2,12/01/2018,1615,6,U,1,1,1,E08000035,51C1211,1,9,51C1211,1,1,3,1,23
51C1909,427787,436484,2,12/01/2018,2045,4,B6157,2,4,1,E08000035,51C1909,1,9,51C1909,1,1,3,1,22
51D0387,422306,445990,1,13/01/2018,0735,3,A659,4,1,1,E08000035,51D0387,1,5,51D0387,1,1,3,1,59
51D0810,426292,428015,2,13/01/2018,1255,4,B6127,1,1,1,E08000035,51D0810,2,4,51D0810,2,1,3,1,38
51D1266,431346,433945,2,13/01/2018,1648,6,U,1,4,1,E08000035,51D1266,1,11,51D1266,1,2,3,2,37
47I1326,431902,434864,2,18/02/2018,1758,6,U,1,7,1,E08000035,47I1326,2,9,47I1326,2,1,3,2,33
