Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,2,6
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,1,9
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,2,39
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,1,5
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,2,8
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,2,48
58F1730,436147,434957,2,15/08/2019,1812,3,A6120,1,1,1,E08000035,2,11,2,3,2,57
6111190,435904,425850,2,01/01/2019,1007,3,A642,1,1,1,E08000035,2,1,1,3,1,54
6111674,423194,438111,1,01/01/2019,1505,6,U,1,1,1,E08000035,1,9,3,3,2,3
6111836,429149,431736,2,01/01/2019,1640,6,U,1,4,1,E08000035,2,1,1,2,1,45
6120357,428760,432723,2,02/01/2019,0929,3,A58,1,1,1,E08000035,2,1,1,2,1,44
6121501,431451,435823,1,02/01/2019,1915,6,U,1,4,1,E08000035,1,9,3,3,1,16
6130451,427555,433891,2,03/01/2019,0955,6,U,1,1,1,E08000035,2,9,1,3,2,38
6130492,420066,445481,2,03/01/2019,1035,6,U,1,1,1,E08000035,1,5,1,2,1,35
6130492,420066,445481,2,03/01/2019,1035,6,U,1,1,1,E08000035,1,5,2,3,2,37
6130581,427140,437363,3,03/01/2019,1128,3,A660,1,1,1,E08000035,2,19,1,3,1,28
6130581,427140,437363,3,03/01/2019,1128,3,A660,1,1,1,E08000035,2,19,2,3,1,32
6130581,427140,437363,3,03/01/2019,1128,3,A660,1,1,1,E08000035,3,9,1,3,2,46
6140252,430783,438603,2,04/01/2019,0746,6,U,1,1,1,E08000035,1,9,1,3,1,69
6140252,430783,438603,2,04/01/2019,0746,6,U,1,1,1,E08000035,1,9,2,3,2,69
6141399,420015,445436,2,04/01/2019,1730,3,A659,1,4,1,E08000035,1,3,1,2,1,20
6170679,432347,430836,2,07/01/2019,0330,6,U,1,6,1,E08000035,2,1,1,3,1,25
6170725,422786,434721,1,07/01/2019,1230,4,B6157,1,1,1,E08000035,1,9,3,3,2,23
6170834,434118,445048,2,07/01/2019,1400,6,U,2,1,5,E08000035,1,9,2,3,2,53
6171024,425491,432085,1,07/01/2019,1520,6,U,9,1,9,E08000035,1,8,2,2,2,28
6171334,430549,432911,1,07/01/2019,1748,6,U,1,4,1,E08000035,1,9,3,2,2,21
6180248,429558,431566,2,08/01/2019,0754,6,U,1,1,1,E08000035,2,1,1,3,1,32
6180290,427216,444133,1,08/01/2019,0830,6,U,1,1,1,E08000035,1,9,1,3,2,58
6180639,430787,433346,2,08/01/2019,1200,3,A61,1,1,1,E08000035,1,8,1,3,1,32
6180639,430787,433346,2,08/01/2019,1200,3,A61,1,1,1,E08000035,1,8,2,3,1,28
6180639,430787,433346,2,08/01/2019,1200,3,A61,1,1,1,E08000035,2,9,1,3,2,39
6181012,430398,433300,2,08/01/2019,1210,6,U,1,1,1,E08000035,2,11,2,3,2,79
6181312,428128,432795,1,08/01/2019,1720,4,B6154,1,4,1,E08000035,1,9,3,3,1,58
6191325,429858,432972,2,09/01/2019,1733,6,U,1,4,1,E08000035,2,1,1,3,1,39
6191450,426664,431789,2,09/01/2019,1715,3,A6110,1,4,1,E08000035,2,9,1,3,1,29
61A0359,435931,436473,2,10/01/2019,0830,3,A64,1,1,1,E08000035,2,9,1,3,2,29
61A0359,435931,436473,2,10/01/2019,0830,3,A64,1,1,1,E08000035,2,9,2,3,2,23
61A0620,431468,432543,2,10/01/2019,1200,3,A61,1,1,1,E08000035,1,9,2,3,2,21
61A0620,431468,432543,2,10/01/2019,1200,3,A61,1,1,1,E08000035,2,9,1,3,2,39
61A0698,418989,444837,2,10/01/2019,1231,3,A6038,2,1,1,E08000035,2,1,1,2,2,20
61A1192,419724,437029,2,10/01/2019,1640,6,U,1,4,1,E08000035,2,1,1,2,1,43
61B1470,429705,431847,2,11/01/2019,1807,6,U,1,4,1,E08000035,1,9,1,3,2,73
61B2042,429392,431357,2,11/01/2019,2230,6,U,1,4,1,E08000035,2,2,1,2,1,17
61C1047,431234,435814,2,12/01/2019,1529,6,U,1,1,1,E08000035,1,9,1,3,2,32
61C1318,430836,435427,2,12/01/2019,1710,6,U,1,4,1,E08000035,1,9,1,3,2,23
61C1318,430836,435427,2,12/01/2019,1710,6,U,1,4,1,E08000035,1,9,2,3,2,20
