State,Started on,Completed,Time taken,Grade/16.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00
Finished,11/11/2021 19:00,11/11/2021 19:13,13 mins 31 secs,13.17,1,0,1,1,1,1,1,1,1,0,1,0.67,1,1,0.5,1
Finished,11/11/2021 19:00,11/11/2021 19:38,38 mins 9 secs,14.5,1,1,1,1,1,1,1,0,1,1,1,0.5,1,1,1,1
Finished,11/11/2021 19:00,11/11/2021 19:22,22 mins 9 secs,8.42,0.75,0,0,0,1,1,0,0,1,1,0.67,1,0,0,1,1
Finished,11/11/2021 19:00,11/11/2021 19:33,32 mins 16 secs,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,11/11/2021 19:01,11/11/2021 19:24,23 mins 53 secs,13.33,1,1,1,1,1,0,1,1,1,1,0.17,0.17,1,1,1,1
Finished,11/11/2021 19:01,11/11/2021 19:33,32 mins 17 secs,15.33,1,1,1,1,1,1,1,1,1,1,1,0.67,1,1,1,0.67
Finished,11/11/2021 19:02,11/11/2021 19:30,27 mins 29 secs,9.67,1,0,1,1,1,0,0,0,0,0,1,0.67,1,1,1,1
Finished,11/11/2021 19:04,11/11/2021 22:05,3 hours,5.08,0.67,1,0,0,0.75,0,0,0,0,0,0.5,0.17,1,0,0,1
Finished,11/11/2021 19:04,11/11/2021 19:51,47 mins 11 secs,14.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.5,1
Finished,11/11/2021 19:05,11/11/2021 19:27,21 mins 56 secs,11.17,1,0,1,1,0.5,1,1,0,1,1,0.17,0,1,1,0.5,1
Finished,11/11/2021 19:05,11/11/2021 19:32,27 mins 8 secs,12.75,1,1,1,1,0.75,1,1,0,1,1,0.5,0.67,1,1,0.5,0.33
Finished,11/11/2021 19:06,11/11/2021 19:53,47 mins 5 secs,14.75,1,1,1,0,0.75,1,1,1,1,1,1,1,1,1,1,1
Finished,11/11/2021 19:06,11/11/2021 19:32,26 mins 7 secs,7.25,1,0,0,0,0.75,0,0,0,0,0,0.5,1,1,1,1,1
Finished,11/11/2021 19:09,11/11/2021 19:54,44 mins 43 secs,12.67,1,0,1,1,1,1,1,1,0,1,0.5,0.17,1,1,1,1
Finished,11/11/2021 19:15,11/11/2021 19:27,12 mins 24 secs,5.08,0,0,0,1,0.25,0,0,0,1,0,0.67,0.17,0,1,0,1
Finished,11/11/2021 19:17,11/11/2021 19:37,19 mins 43 secs,15.17,1,1,1,1,1,1,1,1,1,1,0.17,1,1,1,1,1
Finished,11/11/2021 19:19,11/11/2021 19:34,15 mins 30 secs,7,1,1,0,1,0.5,0,0,0,0,0,1,0,1,0,1,0.5
Finished,11/11/2021 19:23,11/11/2021 19:49,26 mins 36 secs,15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finished,11/11/2021 19:23,11/11/2021 19:40,16 mins 50 secs,13.5,1,1,1,1,1,0,1,1,1,0,0.5,1,1,1,1,1
