State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.63,Q. 2 /0.63,Q. 3 /0.63,Q. 4 /0.63,Q. 5 /0.63,Q. 6 /0.63,Q. 7 /0.63,Q. 8 /0.63,Q. 9 /0.63,Q. 10 /0.63,Q. 11 /0.63,Q. 12 /0.63,Q. 13 /0.63,Q. 14 /0.63,Q. 15 /0.63,Q. 16 /0.63
Finished,17/10/2023 18:00,17/10/2023 18:24,24 mins 1 sec,9.53,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.31,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 18:00,17/10/2023 18:13,13 mins 8 secs,4.22,0.31,0.63,0.47,0.31,0.63,0,0,0,0,0.31,0.31,0,0,0.63,0.63,0
Finished,17/10/2023 18:00,17/10/2023 18:44,43 mins 43 secs,8.44,0.31,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63
Finished,17/10/2023 18:01,17/10/2023 18:13,12 mins 54 secs,6.25,0.63,0.63,0.31,0.63,0,0,0,0,0.63,0.63,0.31,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 18:01,17/10/2023 18:24,23 mins 2 secs,8.59,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0,0.63,0.63,0.63,0
Finished,17/10/2023 18:09,17/10/2023 18:36,27 mins 8 secs,9.84,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.47,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 18:10,17/10/2023 18:24,13 mins 49 secs,6.25,0.63,0,0.63,0.63,0,0.63,0.63,0,0.63,0.63,0,0,0.63,0.63,0.63,0
Finished,17/10/2023 18:10,17/10/2023 18:29,18 mins 55 secs,5.63,0.31,0,0.31,0.63,0.63,0.63,0,0,0.63,0.63,0.31,0.63,0.63,0,0.31,0
Finished,17/10/2023 18:26,17/10/2023 20:04,1 hour 38 mins,10,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 18:35,17/10/2023 21:13,2 hours 38 mins,9.69,0.63,0.63,0.31,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 18:36,17/10/2023 18:47,10 mins 25 secs,5.47,0.63,0.63,0.47,0.31,0,0.63,0,0,0.63,0.63,0,0.63,0.63,0,0.31,0
Finished,17/10/2023 18:42,17/10/2023 18:56,14 mins 35 secs,6.56,0.63,0.63,0.31,0.63,0,0,0,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0
Finished,17/10/2023 18:45,17/10/2023 19:06,21 mins 13 secs,7.34,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0.47,0.63,0,0.63,0.63,0.63,0.63
Finished,17/10/2023 18:50,17/10/2023 18:58,8 mins 11 secs,4.06,0.63,0.63,0.63,0.63,0,0,0,0,0,0.63,0.31,0,0,0,0.63,0
Never submitted,17/10/2023 18:58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,17/10/2023 19:07,17/10/2023 21:26,2 hours 19 mins,7.97,0.63,0,0.63,0.63,0.63,0.63,0,0.63,0.63,0.47,0.63,0,0.63,0.63,0.63,0.63
Finished,17/10/2023 19:10,17/10/2023 19:23,12 mins 56 secs,5,0.31,0.63,0.47,0.63,0,0,0,0,0,0.47,0,0.63,0.63,0.63,0.63,0
Finished,17/10/2023 19:22,17/10/2023 19:49,26 mins 46 secs,7.5,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0,0,0.63,0.63,0
Finished,17/10/2023 19:23,17/10/2023 20:07,43 mins 58 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 19:37,17/10/2023 19:55,18 mins 3 secs,6.25,0.31,0.63,0.63,0.63,0.63,0.63,0,0,0.63,0.63,0.31,0.63,0,0,0.63,0
Finished,17/10/2023 19:38,17/10/2023 20:08,30 mins 14 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 19:40,17/10/2023 20:14,33 mins 50 secs,9.69,0.63,0.63,0.31,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 19:44,17/10/2023 20:39,55 mins 13 secs,10,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Finished,17/10/2023 19:47,17/10/2023 20:15,27 mins 49 secs,7.66,0.31,0,0.47,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0.63,0.63,0.63,0
Finished,17/10/2023 19:49,17/10/2023 20:05,15 mins 26 secs,7.19,0.31,0.63,0.47,0.63,0.63,0.63,0.63,0,0.63,0.47,0.31,0,0.63,0.63,0.63,0
