State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,30/9/2024 12:56,2/10/2024 10:36,1 day 21 hours,9.21,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:06,5/10/2024 2:11,4 days 13 hours,9.47,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:16,30/9/2024 13:52,36 mins 31 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:26,30/9/2024 13:56,30 mins 2 secs,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Never submitted,30/9/2024 13:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,30/9/2024 14:22,4/10/2024 16:10,4 days 1 hour,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:22,30/9/2024 18:24,4 hours 1 min,6.97,0.26,0.53,0.53,0.53,0.53,0,0.53,0.26,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0,0.53,0.53
Finished,30/9/2024 14:22,30/9/2024 14:35,12 mins 33 secs,7.89,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:23,30/9/2024 17:21,2 hours 58 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:23,30/9/2024 20:31,6 hours 8 mins,8.16,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,30/9/2024 14:23,3/10/2024 14:13,2 days 23 hours,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:25,30/9/2024 14:39,13 mins 41 secs,8.95,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,30/9/2024 14:28,30/9/2024 14:34,6 mins 31 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:41,30/9/2024 15:03,22 mins 33 secs,8.68,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:41,30/9/2024 15:03,21 mins 55 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:45,30/9/2024 15:03,18 mins 57 secs,8.42,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
